vehicle,period,signal,signal_present,expected_start,expected_end_exclusive,input_record_count,invalid_timestamp_count,invalid_numeric_count,duplicate_timestamp_count,outlier_value_count,outside_period_count,interval_candidate_count,valid_interval_count,nonpositive_interval_count,long_gap_count,removed_interval_count,removed_interval_pct,valid_time_hours,first_timestamp,last_timestamp,expected_period_hours,start_delay_hours,end_shortfall_hours,observed_span_pct,reset_count,excessive_rate_count,valid_increment_count,removed_increment_count,removed_increment_pct,threshold_record_count,distinct_event_count
LDV_02,before,side_acceleration,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,1307,0,0,0,0,0,1306,1073,0,233,233,17.84073506891271,5.433115555555555,2026-04-20 09:29:32.687000+09:00,2026-05-15 17:29:27.397000+09:00,720.0,57.49241305555556,54.50905638888889,84.44424035493827,,,,,,10.0,10.0
LDV_02,before,up_down_acceleration,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,2035,0,0,0,0,0,2034,1801,0,233,233,11.455260570304818,5.433281388888889,2026-04-20 09:29:32.687000+09:00,2026-05-15 17:29:27.397000+09:00,720.0,57.49241305555556,54.50905638888889,84.44424035493827,,,,,,,
LDV_03,before,vehicle_speed,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,35254,0,0,0,0,0,35253,35020,0,233,233,0.6609366578730889,104.24582555555554,2026-04-20 09:17:25.333000+09:00,2026-05-15 18:03:45.127000+09:00,720.0,57.29037027777778,53.93746472222222,84.55168958333334,,,,,,,
LDV_03,before,engine_rpm,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,24070,0,0,0,0,0,24069,23795,0,274,274,1.1383937845361254,98.18886583333334,2026-04-20 09:17:25.383000+09:00,2026-05-15 18:03:45.127000+09:00,720.0,57.29038416666667,53.93746472222222,84.55168765432097,,,,,,,
LDV_03,before,fuel_used,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,8847,0,0,0,0,0,8846,8513,0,333,333,3.764413294144246,88.05220000000001,2026-04-20 09:17:37.957000+09:00,2026-05-15 18:04:01.387000+09:00,720.0,57.29387694444444,53.932948055555556,84.55182986111112,0.0,2.0,8844.0,2.0,0.022609088853719195,,
LDV_03,before,odometer,False,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,0,0,0,0,0,0,0,0,0,0,0,,0.0,,,720.0,,,0.0,0.0,0.0,0.0,0.0,,,
LDV_03,before,raw_odometer,False,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,0,0,0,0,0,0,0,0,0,0,0,,0.0,,,720.0,,,0.0,0.0,0.0,0.0,0.0,,,
LDV_03,before,incremental_distance,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,1938,0,0,0,0,0,1937,1296,0,641,641,33.09241094475993,54.19456777777778,2026-04-20 09:17:24.883000+09:00,2026-05-15 18:04:01.257000+09:00,720.0,57.29024527777778,53.932984166666664,84.55232924382715,,,,,,,
LDV_03,before,coolant_temp,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,1327,0,0,0,0,0,1326,758,0,568,568,42.835595776772244,39.09336916666667,2026-04-20 09:17:29.200000+09:00,2026-05-15 18:03:45.127000+09:00,720.0,57.291444444444444,53.93746472222222,84.55154039351852,,,,,,,
LDV_03,before,forward_braking,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,5397,0,0,0,0,0,5396,4933,0,463,463,8.58042994810971,23.628944444444446,2026-04-20 09:19:48.507000+09:00,2026-05-15 18:01:39.743000+09:00,720.0,57.33014083333334,53.97229361111111,84.54132854938273,,,,,,23.0,21.0
LDV_03,before,side_acceleration,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,6472,0,0,0,0,0,6471,6008,0,463,463,7.154999227321898,23.628932222222222,2026-04-20 09:19:48.507000+09:00,2026-05-15 18:01:39.743000+09:00,720.0,57.33014083333334,53.97229361111111,84.54132854938273,,,,,,124.0,101.0
LDV_03,before,up_down_acceleration,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,9093,0,0,0,0,0,9092,8629,0,463,463,5.0923889133304,23.62908138888889,2026-04-20 09:19:48.507000+09:00,2026-05-15 18:01:39.743000+09:00,720.0,57.33014083333334,53.97229361111111,84.54132854938273,,,,,,,
LDV_04,before,vehicle_speed,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,27430,0,0,0,0,0,27429,27225,0,204,204,0.7437383790878268,71.09293166666667,2026-04-20 09:29:52.813000+09:00,2026-05-15 18:10:59.647000+09:00,720.0,57.49800361111111,53.816764722222224,84.53961550925925,,,,,,,
LDV_04,before,engine_rpm,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,27830,0,0,0,0,0,27829,27601,0,228,228,0.8192892306586654,67.81272,2026-04-20 09:29:52.933000+09:00,2026-05-15 18:10:59.647000+09:00,720.0,57.49803694444444,53.816764722222224,84.53961087962963,,,,,,,
LDV_04,before,fuel_used,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,5752,0,0,0,0,0,5751,5443,0,308,308,5.3555903321161535,49.810027222222224,2026-04-20 09:30:02.513000+09:00,2026-05-15 18:11:09.430000+09:00,720.0,57.50069805555556,53.81404722222222,84.53961871141975,1.0,0.0,5750.0,1.0,0.01738828029907842,,
LDV_04,before,odometer,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,1479,0,0,0,0,0,1478,1026,0,452,452,30.581867388362653,39.447473055555555,2026-04-20 09:29:57.647000+09:00,2026-05-15 18:11:09.307000+09:00,720.0,57.49934638888889,53.81408138888889,84.53980169753088,0.0,0.0,1478.0,0.0,0.0,,
LDV_04,before,raw_odometer,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,1479,0,0,0,0,0,1478,1026,0,452,452,30.581867388362653,39.447473055555555,2026-04-20 09:29:57.647000+09:00,2026-05-15 18:11:09.307000+09:00,720.0,57.49934638888889,53.81408138888889,84.53980169753088,0.0,0.0,1478.0,0.0,0.0,,
LDV_04,before,incremental_distance,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,2,0,0,0,0,0,1,0,0,1,1,100.0,0.0,2026-04-29 15:55:51.813000+09:00,2026-04-29 16:05:07.890000+09:00,720.0,279.93105916666667,439.91447500000004,0.021453587962962962,,,,,,,
LDV_04,before,coolant_temp,False,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,0,0,0,0,0,0,0,0,0,0,0,,0.0,,,720.0,,,0.0,,,,,,,
LDV_04,before,forward_braking,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,6388,0,0,0,0,0,6387,6055,0,332,332,5.198058556442774,26.545542222222224,2026-04-20 09:30:16.383000+09:00,2026-05-15 18:04:58.183000+09:00,720.0,57.50455083333333,53.91717138888889,84.52476080246913,,,,,,196.0,185.0
LDV_04,before,side_acceleration,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,6388,0,0,0,0,0,6387,6055,0,332,332,5.198058556442774,26.545525555555557,2026-04-20 09:30:16.383000+09:00,2026-05-15 18:04:58.183000+09:00,720.0,57.50455083333333,53.91717138888889,84.52476080246913,,,,,,198.0,168.0
